id,value,color
犀牛,
犀牛.非洲,
犀牛.非洲.白犀牛,
犀牛.非洲.白犀牛.北部白犀(2頭),1.22,#DE0200
犀牛.非洲.白犀牛.南部白犀(18600頭),5.0,#DEBA0B
犀牛.非洲.黑犀牛,
犀牛.非洲.黑犀牛.東部黑犀(900頭),3.9,#D16300
犀牛.非洲.黑犀牛.中南部黑犀(2900頭),4.3,#E89F0C
犀牛.非洲.黑犀牛.西南部黑犀(1000頭),4.0,#D16300
犀牛.非洲.黑犀牛.西部黑犀,1.0,#59666C
犀牛.亞洲,
犀牛.亞洲.蘇門答臘犀牛,
犀牛.亞洲.蘇門答臘犀牛.西部蘇門犀(200頭),3.2,#D16300
犀牛.亞洲.蘇門答臘犀牛.婆羅洲蘇門犀(3頭),1.6,#DE0200
犀牛.亞洲.蘇門答臘犀牛.北部蘇門犀,1.0,#59666C
犀牛.亞洲.爪哇犀牛,
犀牛.亞洲.爪哇犀牛.印度爪哇犀,1.0,#59666C
犀牛.亞洲.爪哇犀牛.印尼爪哇犀(50頭),2.5,#E8410C
犀牛.亞洲.爪哇犀牛.印支爪哇犀,1.0,#59666C
犀牛.亞洲.印度犀牛,
犀牛.亞洲.印度犀牛.印度犀(3200頭),4.33,#E89F0C
